a,NaN
aaron,NaN
abacha,NaN
aback,NaN
abby,NaN
abs,plastic
abstract,NaN
acacia,wood
accent,NaN
accents,NaN
acer,NaN
acetate,fabric
acid,NaN
acorn,wood
acres,NaN
acrylic,plastic
acryliclegs,plastic
acrylonitrile,plastic
actual,NaN
added,NaN
addison,NaN
aden,NaN
adirondack,NaN
adler,NaN
adobe,"brown,wood"
aegean,"grey,wood"
afrc,NaN
africa,NaN
african,NaN
agate,marble
agatha,NaN
aged,NaN
aggregate,NaN
aging,NaN
agonized,NaN
air,NaN
airbase,NaN
aircraft,NaN
airehyde,NaN
airplanes,NaN
aka,NaN
alabaster,marble
alaskan,NaN
alba,NaN
albania,NaN
albert,NaN
albumin,NaN
alchemy,NaN
alder,wood
alegre,NaN
alex,NaN
alfresco,NaN
alice,NaN
alien,NaN
all,NaN
alley,NaN
alliance,NaN
alligator,NaN
allover,nan
alloy,metal
almond,wood
alone,NaN
alpaca,NaN
alpine,NaN
also,NaN
alston,NaN
alton,NaN
alu,metal
aluminium,metal
aluminum,metal
aluminumchair,metal
alvaro,NaN
amanda,NaN
amaretto,brown
amazing,NaN
amazonia,NaN
amber,brown
amd,NaN
american,NaN
amethyst,purple
an,NaN
anchor,NaN
ancient,NaN
and,NaN
andhardwood,wood
anegrebrass,metal
angelo,NaN
angle,NaN
angled,NaN
angry,NaN
angus,NaN
aniline,"brown,leather"
animal,NaN
anna,NaN
anodised,NaN
antelope,NaN
anthracite,marble
anti,NaN
antibacterial,NaN
antique,NaN
antiquity,NaN
ants,NaN
any,NaN
apache,NaN
appeal,NaN
applause,NaN
apple,red
applied,NaN
applique,NaN
approved,NaN
aqua,blue
aquamarine,blue
aquatic,blue
archive,NaN
arctic,"white,grey"
are,NaN
argentinian,NaN
argos,NaN
ariel,NaN
arizona,NaN
arm,NaN
armchair,NaN
armless,NaN
armrest,NaN
arms,NaN
array,NaN
arrests,NaN
art,NaN
artic,NaN
artificial,NaN
artisan,NaN
aruba,NaN
as,NaN
asean,NaN
ash,wood
ashanti,NaN
ashbury,NaN
ashe,NaN
ashford,NaN
ashore,NaN
ashveneer,wood
ashwood,wood
asian,NaN
ask,NaN
aspen,wood
asphalt,grey
assembly,NaN
assorted,NaN
astor,NaN
astrid,NaN
atlantic,NaN
atmospheric,NaN
atomic,NaN
attic,NaN
attire,NaN
aubergine,purple
auburn,brown
aubusson,NaN
audited,NaN
aurel,NaN
aurora,NaN
austin,NaN
australia,NaN
authentic,NaN
autumn,NaN
available,NaN
availabledurable,NaN
avanti,leather
aviator,NaN
avignon,NaN
avocado,green
avodire,wood
aware,NaN
axis,NaN
azure,blue
b,NaN
ba,NaN
babur,NaN
baby,NaN
back,NaN
backing,NaN
backleather,leather
backrest,NaN
backside,NaN
bada,NaN
badger,"brown,fabric"
baffin,fabric
bag,NaN
bahama,NaN
bahia,NaN
baird,NaN
bakelite,plastic
bala,NaN
bali,NaN
ball,NaN
balliol,NaN
balmoral,NaN
baltic,NaN
bamboo,NaN
bamboozle,NaN
bambusea,NaN
banana,rattan
bananaleafandiron,metal
band,NaN
banded,NaN
bandedsatinwood,wood
banding,NaN
bands,NaN
bank,NaN
bar,NaN
bard,NaN
barely,NaN
bark,NaN
barley,NaN
barn,NaN
barnstormer,NaN
barnwood,wood
barrel,NaN
barrels,NaN
barrington,NaN
base,NaN
based,NaN
baseline,NaN
basic,NaN
basil,green
basket,NaN
baskets,NaN
bass,wood
bassano,NaN
basset,NaN
basswood,wood
bator,NaN
battleship,NaN
bay,NaN
bayeux,NaN
be,NaN
beach,NaN
beads,NaN
beams,NaN
bean,NaN
bear,NaN
bedford,NaN
bedroom,NaN
beech,wood
beechwood,wood
beer,NaN
beeswax,NaN
beethoven,NaN
begum,NaN
beige,beige
belgian,NaN
belgium,NaN
belize,NaN
bella,NaN
bellecrest,NaN
bench,NaN
bending,NaN
bennett,NaN
bent,NaN
bentley,NaN
bentwood,wood
berana,NaN
berkeley,NaN
berry,red
bespoke,NaN
bevel,NaN
bevelled,NaN
bi,NaN
bianco,NaN
bicastleather,leather
biegecushion,beige
big,NaN
bigleaf,NaN
biker,NaN
bind,NaN
bindings,NaN
bingo,NaN
birch,wood
birchwood,wood
birds,NaN
birdseye,NaN
birdwatcher,NaN
biscuit,NaN
bishop,NaN
bison,NaN
bisque,NaN
bistro,NaN
black,black
blackberry,black
blackboard,black
blackened,black
blackflatnailheads,black
blackjack,black
blackmail,black
blackplating,black
blacktempered,black
blake,NaN
blanc,white
blanche,NaN
blazing,NaN
bleached,white
blend,NaN
blended,NaN
block,NaN
blond,yellow
blood,red
blossom,NaN
blown,NaN
blue,blue
blue-white,blue
blueberry,blue
bluestone,"blue,marble"
blush,NaN
board,wood
boardoard,wood
boardwalk,wood
boat,NaN
body,NaN
bois,NaN
bold,NaN
boldwood,wood
bolt,NaN
boltwood,wood
bomber,NaN
bonded,NaN
bone,NaN
bonington,NaN
bonus,NaN
bookmarks,NaN
boomerang,NaN
bopper,NaN
bordeaux,NaN
boston,NaN
bottom,NaN
boulder,NaN
boulle,NaN
bounded,NaN
bouquet,NaN
bowden,NaN
box,NaN
boxwood,wood
braemar,NaN
braid,NaN
braised,NaN
brandon,NaN
brandy,brown
brandywine,brown
branston,NaN
brass,metal
brazilian,NaN
breathable,NaN
breeze,NaN
brentwood,wood
brian,NaN
briar,NaN
brick,NaN
bricklayer,NaN
bridal,NaN
bright,NaN
brilliance,NaN
brilliant,NaN
brindle,NaN
british,NaN
broke,NaN
bromley,NaN
brompton,NaN
bronze,metal
brought,NaN
brown,brown
brownish,brown
brownstone,brown
brush,NaN
brushed,NaN
brushing,NaN
bubblegum,NaN
buck,NaN
buckey,NaN
buckskin,NaN
buckwheat,NaN
buff,NaN
buffalo,NaN
built,NaN
bull,wood
bulldozer,NaN
bullwood,wood
bulrush,rattan
bungee,NaN
bureau,NaN
burgundy,red
buried,NaN
burn,NaN
burned,NaN
burnished,NaN
burnt,orange
but,NaN
butadiene,plastic
butter,NaN
butterfat,NaN
buttermilk,NaN
button,NaN
buttons,NaN
buying,NaN
by,NaN
byzantine,NaN
c,NaN
ca,NaN
cabbie,NaN
cabernet,NaN
cable,NaN
cabo,NaN
cactus,NaN
cadet,NaN
cadiz,NaN
cafe,brown
cain,NaN
calcutta,NaN
calderwood,wood
caledon,NaN
callbox,NaN
calloway,NaN
camacha,NaN
cambric,NaN
camel,NaN
camera,NaN
cameron,NaN
camirawool,fabric
camo,NaN
camouflage,NaN
campaign,NaN
camphor,NaN
can,NaN
canadian,NaN
canary,wood
candid,NaN
candy,NaN
cane,NaN
caned,NaN
caning,NaN
canopy,NaN
cantona,NaN
canvas,NaN
canyon,NaN
capacity,NaN
caper,NaN
cappuccino,brown
capri,NaN
caps,NaN
captures,NaN
car,NaN
caramel,brown
caramelised,brown
carb,NaN
carbon,black
carbonate,NaN
cardinal,NaN
care,NaN
caressoft,NaN
caressoftplus,NaN
caribbean,NaN
caribou,NaN
carlton,NaN
carmelo,NaN
carmine,NaN
carnation,NaN
carnelian,NaN
carpenter,NaN
carrara,NaN
carrel,NaN
carrera,NaN
cartagena,NaN
carton,NaN
carved,NaN
carys,NaN
casablanca,NaN
cascade,NaN
cashew,NaN
cashmere,NaN
cast,NaN
castdfoam,foam
casters,NaN
castings,NaN
castle,NaN
castletown,NaN
catalina,NaN
cathedral,NaN
catherwood,wood
caviar,black
cedar,wood
cedarwood,wood
celadon,green
celery,green
celestial,NaN
cement,concrete
ceramic,ceramic
ceramics,ceramic
cereal,NaN
cerejeira,wood
cerejiera,wood
ceremony,NaN
cerise,NaN
certified,NaN
cfs,NaN
chablis,NaN
chain,NaN
chair,NaN
chaise,NaN
chalet,NaN
chalk,NaN
challenger,NaN
champagne,grey
champion,NaN
channel,NaN
chaplain,NaN
char,NaN
character,NaN
charcoal,black
charger,NaN
chartreuse,"green,fabric"
chateau,beige
chatterley,NaN
che,NaN
checkmate,NaN
cheetah,NaN
chemical,NaN
chenille,fabric
cherry,wood
cherryresin,wood
cherrywood,wood
chesham,NaN
chesnut,wood
chess,NaN
chesterfield,NaN
chestnut,brown
chevron,NaN
chicago,NaN
chico,NaN
chilean,NaN
chili,NaN
china,NaN
chinchilla,NaN
chine,NaN
chinese,NaN
chiparticle,NaN
chipboard,wood
chips,NaN
chipset,NaN
chiselled,NaN
chloride,NaN
choc,brown
chocolate,brown
choice,NaN
chrome,metal
chrome-plated,metal
chromed,metal
chromium,metal
chronicle,NaN
cider,NaN
cigar,NaN
cinnabar,NaN
cinnamon,NaN
cipriani,NaN
circle,NaN
circles,NaN
circular,NaN
citalia,NaN
cite,NaN
citrine,NaN
citron,NaN
citrus,NaN
clad,NaN
claret,NaN
clarion,NaN
classic,NaN
clay,NaN
clear,NaN
clementine,NaN
cliffside,NaN
clipstone,NaN
clock,NaN
cloth,fabric
clothing,fabric
cloud,NaN
clr,NaN
club,NaN
cm,NaN
co,NaN
coach,NaN
coal,NaN
coast,NaN
coastal,NaN
coat,NaN
coated,NaN
coating,NaN
coats,NaN
cobalt,blue
cobblestones,rock
coco,NaN
cocoa,brown
cocobolo,NaN
coconut,NaN
coding,NaN
coffee,brown
coffeebean,brown
cognac,brown
coil,NaN
coils,NaN
cold,NaN
coleman,NaN
collected,NaN
collin,NaN
collis,NaN
colonial,NaN
color,NaN
colored,NaN
colors,NaN
column,NaN
combination,NaN
combine,NaN
combo,NaN
commercial,NaN
common,NaN
compliant,NaN
components,NaN
composite,NaN
composites,NaN
compressed,NaN
concrete,concrete
cone,NaN
confetti,NaN
conjugated,NaN
connection,NaN
connectionchair,NaN
connectors,NaN
constructed,NaN
construction,NaN
constructions,NaN
contact,NaN
contemporary,NaN
content,NaN
contrast,NaN
cool,NaN
cooper,metal
copper,metal
coral,wood
corbin,NaN
cord,NaN
cordial,NaN
cordova,NaN
core,NaN
cork,NaN
corn,NaN
cornell,NaN
corner,NaN
corners,NaN
cornflower,NaN
cornhill,NaN
corrected,NaN
cortex,NaN
cost,NaN
cosy,NaN
cottage,NaN
cotton,fabric
cotton-wool,fabric
countess,NaN
country,NaN
court,NaN
courtyard,NaN
coventry,NaN
cover,NaN
covered,NaN
covering,NaN
cow,NaN
cowboy,NaN
cowhide,NaN
cowling,NaN
cozy,NaN
cracked,NaN
crackle,NaN
crackled,NaN
craft,NaN
crafted,NaN
craftsman,NaN
cranapple,NaN
cranberry,NaN
crayon,NaN
crazy,NaN
cream,beige
creambeige,beige
creamy,beige
creche,NaN
credo,NaN
creme,beige
crepe,NaN
cresting,NaN
crimson,red
croc,NaN
crocodile,NaN
crome,NaN
cross,NaN
crossroads,NaN
crotch,NaN
crown,NaN
cruet,NaN
crush,NaN
crushed,NaN
crystal,glass
crystals,glass
cs,NaN
culpepper,NaN
cumin,NaN
cunningham,wood
cunnnghamia,wood
cup,NaN
cups,NaN
cured,NaN
curl,NaN
curly,NaN
curved,NaN
cushion,NaN
cushionchair,NaN
cushioning,NaN
cushions,NaN
custom,NaN
cut,NaN
cycled,NaN
cypress,wood
d,NaN
dacron,fabric
daisy,NaN
dakota,NaN
damask,fabric
dance,NaN
danielle,NaN
danish,NaN
danubian,NaN
dark,NaN
darkish,NaN
dash,NaN
days,NaN
de,NaN
deadwood,wood
deal,NaN
deco,NaN
decor,NaN
decoration,NaN
decorative,NaN
decoupage,NaN
deep,NaN
default,NaN
delay,NaN
delilah,NaN
denali,NaN
denim,fabric
density,NaN
denton,NaN
denver,NaN
derby,NaN
description,NaN
desert,NaN
design,NaN
desiree,NaN
destroyed,NaN
destruction,NaN
detail,NaN
detailing,NaN
details,NaN
devon,NaN
dexter,NaN
di,NaN
dia,NaN
diameter,NaN
diamond,NaN
dickens,NaN
die,NaN
dimpled,NaN
dining,NaN
dirty,NaN
disc,NaN
disk,NaN
displayed,NaN
distress,NaN
distressed,NaN
distressing,NaN
divina,NaN
dk,NaN
dock,NaN
document,NaN
dodger,NaN
doe,NaN
does,NaN
dolmen,NaN
dolphin,NaN
doors,NaN
dorian,NaN
dorrell,NaN
dot,NaN
double,NaN
douglas,NaN
dougray,grey
dove,NaN
dover,NaN
dowel,NaN
down,NaN
downton,NaN
dragon,NaN
drawer,NaN
drawers,NaN
drawershoneycomb,NaN
dream,NaN
dress,NaN
dresser,NaN
dried,NaN
drift,wood
driftwood,wood
drum,NaN
dry,NaN
ducal,NaN
duck,NaN
dum,NaN
duma,NaN
dune,NaN
dunes,NaN
dupion,NaN
durable,NaN
durawood,wood
during,NaN
dusk,NaN
dust,NaN
dusty,NaN
dutch,NaN
dyed,NaN
ea,NaN
each,NaN
eagle,NaN
ear,NaN
earl,NaN
earls,NaN
early,NaN
earth,brown
earthen,brown
eased,NaN
eastwood,wood
easy,NaN
ebony,wood
echo,NaN
eclipse,NaN
eco,NaN
eco-friendly,NaN
ecomalta,NaN
ecopelle,leather
ecu,NaN
eden,NaN
edge,NaN
edges,NaN
edward,NaN
egg,NaN
eggplant,purple
eggshell,NaN
egyptian,NaN
eiffel,NaN
elastic,NaN
elderberry,purple
eldon,NaN
eldorado,NaN
electric,NaN
electroplated,NaN
elegantly,NaN
elephant,NaN
elm,wood
elmwood,wood
eloise,NaN
ember,NaN
embers,NaN
emerald,"blue,green"
emission,NaN
empire,NaN
emu,NaN
en,NaN
enamelled,NaN
encased,NaN
engine,NaN
engineered,NaN
engineering,NaN
english,NaN
envirowood,wood
enzyme,NaN
epoxy,NaN
equalizing,NaN
erato,NaN
erie,NaN
erik,NaN
escape,NaN
espresso,NaN
essence,NaN
etched,NaN
eton,NaN
eucalyptus,NaN
european,NaN
eva,NaN
evenwood,wood
exeter,NaN
exotic,NaN
expectation,NaN
expertly,NaN
exposed,NaN
express,NaN
extension,NaN
exterior,NaN
extra,NaN
extradite,NaN
eye,NaN
eyed,NaN
fabric,fabric
fabricfabric,fabric
fabrics,fabric
face,NaN
faint,NaN
fall,NaN
fan,NaN
fandango,NaN
far,NaN
farmed,NaN
farmhouse,NaN
faslane,NaN
faux,NaN
fawn,NaN
fb,NaN
fe,NaN
feather,NaN
feathers,NaN
features,NaN
federal,NaN
fedora,NaN
feet,NaN
felix,NaN
felt,NaN
felted,NaN
felton,NaN
fenton,NaN
fern,NaN
ferry,NaN
fibers,NaN
fibre,NaN
fibreboard,wood
fibreglass,glass
fiddle,NaN
fiery,NaN
figured,NaN
fill,NaN
filling,NaN
fine,NaN
finger,NaN
finish,NaN
finished,NaN
finishes,NaN
finishing,NaN
finland,NaN
fir,NaN
fire,NaN
firefoam,foam
fireproof,NaN
firewood,wood
firm,NaN
fisher,NaN
fittings,NaN
flair,NaN
flakeboard,wood
flam,NaN
flame,NaN
flamenco,NaN
flamingo,NaN
flannel,NaN
flannelette,NaN
flat,NaN
flatsuede,leather
flax,NaN
flint,NaN
flooring,NaN
floral,floral
florentine,NaN
flower,floral
flowerbed,floral
flowers,floral
fluid,NaN
fluorescent,NaN
fluted,NaN
flux,NaN
foam,foam
foamchromed,"foam,metal"
foamleather,"foam,leather"
fog,NaN
foil,NaN
folded,NaN
food,NaN
foot,NaN
footpads,NaN
for,NaN
fora,NaN
ford,NaN
forest,green
forged,NaN
formal,NaN
formalized,NaN
formica,NaN
forsythia,NaN
forum,NaN
fossil,rock
fossilstone,rock
foundry,NaN
foxy,NaN
fp,NaN
fr,NaN
fram,NaN
frame,NaN
frameadditional,NaN
frames,NaN
framework,NaN
framing,NaN
franconia,NaN
fraxinus,NaN
free,NaN
freehand,NaN
freepost,NaN
french,NaN
fret,NaN
friendly,NaN
from,NaN
front,NaN
frost,white
frosted,white
fruit,NaN
fruitwood,wood
fsc,NaN
fuchsia,purple
fudge,NaN
full,NaN
fullerton,NaN
fully,NaN
fumed,NaN
function,NaN
fur,NaN
furniture,NaN
fynn,NaN
gable,NaN
gabrielle,NaN
galaxy,NaN
galician,NaN
gallery,NaN
gallon,NaN
galvanized,NaN
garnet,NaN
gatsby,NaN
gaucho,NaN
gauge,NaN
gazette,NaN
gel,NaN
gene,NaN
generously,NaN
gent,NaN
genuine,NaN
geo,NaN
geometric,NaN
german,NaN
ghana,NaN
ghost,NaN
gifted,NaN
gilded,NaN
gilt,wood
giltwood,wood
gino,NaN
giotto,NaN
girl,NaN
gl,NaN
glacier,NaN
glamour,NaN
glass,glass
glassstainless,glass
glaucous,NaN
glaze,NaN
glazed,NaN
glide,NaN
glides,NaN
glidetransparent,NaN
glitter,NaN
gloss,NaN
glossy,NaN
gloucester,NaN
glow,NaN
glue,NaN
glued,NaN
glynn,NaN
goat,NaN
godiva,NaN
gold,gold
golden,gold
goldener,gold
goldenrod,gold
golding,gold
goldleaf,gold
goldstone,gold
goldwashed,gold
goose,NaN
grade,NaN
grafton,NaN
graham,NaN
grain,NaN
grained,NaN
grammercy,NaN
grandis,NaN
granite,marble
grape,purple
grapevine,"wood,glass"
graphic,NaN
graphite,black
gras,NaN
grass,rattan
grasscloth,NaN
gravesend,NaN
gray,grey
graywash,grey
great,NaN
green,green
greensward,green
greenwich,green
greig,NaN
grenadine,NaN
gresham,NaN
grey,grey
greycushion,grey
greyish,grey
greystone,NaN
greywhiteespresso,grey
grieve,NaN
gris,NaN
groove,NaN
groovy,NaN
ground,NaN
grove,
grown,NaN
growth,NaN
guanacaste,"brown,wood"
guancaste,"brown,wood"
guide,NaN
guido,NaN
gull,NaN
gum,NaN
gummy,NaN
gun,NaN
gunmetal,NaN
gypsum,NaN
h,NaN
hair,NaN
hairpin,NaN
half,NaN
hallingdal,NaN
hammer,NaN
hammered,NaN
hampton,NaN
hand,NaN
handcrafted,NaN
handgrip,NaN
handle,NaN
handles,NaN
handlesfaux,NaN
handling,NaN
handmade,NaN
handout,NaN
handpainted,NaN
handtaffted,NaN
hanging,NaN
hanson,NaN
harbor,NaN
hard,NaN
hardware,NaN
hardwaresolid,NaN
hardwood,wood
hardwoodresin,wood
hardwoods,wood
harvest,NaN
harvested,NaN
harwood,wood
havana,NaN
have,NaN
haven,NaN
hawaii,NaN
haze,NaN
hazel,"wood,brown"
hazelnut,brown
hazelwood,wood
hazy,NaN
hd,NaN
hdf,NaN
head,NaN
heads,NaN
heart,NaN
heat,NaN
heather,NaN
heavily,NaN
heavy,NaN
heirloom,NaN
hematite,NaN
hemingway,NaN
hemlock,NaN
hemp,NaN
henna,NaN
herbal,NaN
herbs,NaN
herculean,NaN
heritage,NaN
herringbone,NaN
hexagon,NaN
hi,NaN
hi-fi,NaN
hickory,NaN
hide,NaN
high,NaN
highest,NaN
highlight,NaN
highlights,NaN
highly,NaN
hill,NaN
hillel,NaN
hills,NaN
himalayan,NaN
hinges,NaN
hobby,NaN
holder,NaN
holding,NaN
holdings,NaN
hollingsworth,NaN
hollow,NaN
hollowboard,wood
hollywood,NaN
homespun,NaN
honed,NaN
honey,NaN
honeycomb,NaN
hood,NaN
hook,NaN
hope,NaN
horizon,NaN
horn,NaN
horse,NaN
horsehair,NaN
hot,NaN
house,NaN
how,NaN
hp,NaN
hr,NaN
hudson,NaN
hugo,NaN
humdrum,NaN
hume,NaN
hunter,NaN
huntington,NaN
husk,rattan
hyacinth,rattan
hyde,NaN
hydra,NaN
hylas,NaN
ice,NaN
ii,NaN
imbued,NaN
imperial,NaN
implosion,NaN
imported,NaN
in,NaN
inch,NaN
included,NaN
including,NaN
indian,NaN
indica,NaN
indigo,purple
indira,NaN
indonesian,NaN
industrial,NaN
injection,NaN
ink,NaN
inky,NaN
inlaid,NaN
inlay,NaN
inlays,NaN
inner,NaN
inserts,NaN
inset,NaN
inside,NaN
interior,NaN
interlocking,NaN
internal,NaN
intuit,NaN
intuition,NaN
ireland,NaN
iris,NaN
iron,metal
ironfabric,metal
ironnailhead,metal
is,NaN
island,NaN
islander,NaN
italia,NaN
italian,NaN
italianppm,NaN
items,NaN
ives,NaN
ivory,white
izzy,NaN
jacaranda,NaN
jack,NaN
jacket,NaN
jackson,NaN
jacobean,NaN
jacquard,NaN
jade,NaN
jamaica,NaN
jasmine,NaN
java,NaN
javawood,wood
jazzy,NaN
jefferson,NaN
jessie,NaN
jet,NaN
jetty,NaN
jewel,NaN
jitterbug,NaN
joinery,NaN
jointed,NaN
jubilant,NaN
jubilee,NaN
jupiter,NaN
jute,NaN
k,NaN
kalahari,NaN
karelia,NaN
kashmir,NaN
kat,NaN
kate,NaN
kd,NaN
ke,NaN
keats,NaN
keen,NaN
keira,NaN
kelly,NaN
kelp,NaN
kg,NaN
khaki,fabric
khan,NaN
kiln,NaN
kingston,NaN
kingswood,wood
kingwood,wood
kiwi,NaN
klein,NaN
knit,NaN
knobs,NaN
knotted,NaN
knotty,NaN
koa,NaN
kong,NaN
kraft,NaN
krypton,NaN
kubusplit,NaN
kudu,NaN
kundera,NaN
kyoto,NaN
lack,NaN
lacquer,NaN
lacquered,NaN
ladies,NaN
lagoon,blue
laguna,NaN
lake,NaN
lakewood,wood
lal,NaN
lamb,NaN
lambs,NaN
lambskin,NaN
laminate,NaN
laminated,NaN
lamination,NaN
lamont,NaN
